Zona,Nome,Domicílios,Famílias,População,Matrículas Escolares,Empregos,Automóveis Particulares,Viagens Produzidas,Viagens Atraidas,Área (ha)
137,Parque Peruche,17062.000000000004,17062.000000000004,53438.98622586561,7934.786846271445,20887.263973868918,11767.5811707753,106218.63693952505,106878.47951147775,391.87
138,Limão,2395.000000000001,2440.4615384615395,7855.001578314094,1289.610732967949,12056.851109605053,1465.9167402244789,33391.55043681765,34556.697782832416,171.8
139,Jardim Primavera,8139.999999999999,8139.999999999999,24309.007751800204,6250.100211664927,14167.568288298515,4938.215217737231,62094.31501215103,63023.40718269812,192.75
140,Vila Santa Maria,15199.000000000018,15199.000000000018,47390.9904445486,11153.675920492084,16236.63681845737,8582.090952287557,90856.93687572792,89826.11125895425,277.94
141,Cachoeirinha,26057.000000000007,26621.190476190484,79276.01251234312,20535.554041979896,21852.905444577504,16037.729373196176,160498.00379289067,160705.38128937667,478.58
142,Jardim Peri,20265.999999999996,20265.999999999996,66323.9850593711,6352.238051396451,17674.195497034503,10023.996495564716,97862.17421615869,98199.01852792819,443.68
143,Reserva da Cantareira,0,0,0,0,0,0,0,0,436.61
144,Mandaqui,36482.999999999985,36482.999999999985,104525.98731106918,11676.572895139256,30089.91143501143,29568.49416336395,163855.49212740327,163686.51045749942,552.45
145,Horto Florestal,1504.0000000000005,1574.7333333333338,4480.000077751571,3544.305581407798,2392.4244356767367,1397.623242585117,19530.355937584154,20272.279717886668,342.18
146,ETA Guaraú,0,0,0,0,0,0,0,0,428.67
147,Parque Palmas do Tremembé,10874.000000000007,10874.000000000007,33902.00641661504,4625.032383874754,13310.50660838923,8914.907109585603,73488.76010174605,72374.44942754597,407.03
148,Tremembé,7809.000000000005,7809.000000000005,22868.997519097677,6902.872634852289,7835.948802261888,4430.916540289149,48887.01266869335,48863.887539272706,331.62
149,Cantareira,0,0,0,0,68.44721766666667,0,427.66670686254383,427.66670686254383,2886.45
150,Jardim das Pedras,15290.99999999999,15290.99999999999,51557.99974668102,7628.351090071369,10269.41687562238,6703.424114852123,62177.95598251354,63545.04923627857,1609.01
151,Jardim Guapira,33624.000000000015,33624.000000000015,109628.97507201582,15201.124341311657,21010.539377635225,16770.269390893973,179032.8917891848,179177.52979751374,548.53
152,Parada Inglesa,12153.999999999993,12153.999999999993,35168.998499342866,12758.83314229358,14572.714128387806,6875.355918338941,79982.29003549044,79456.26058330557,242.67
153,Tucuruvi,5703.000000000004,5703.000000000004,16283.997597558558,8217.957148840429,10765.15073855734,5639.529478460871,41115.211955795734,41426.0617923609,358.5
154,Vila Gustavo,15796.999999999989,15796.999999999989,45464.99967845768,9330.445467375823,17161.78427153294,13605.303227751285,101085.51446681695,100299.70226352807,345.8
155,Cohab Jova Real,9265.000000000002,9265.000000000002,32242.00485345857,3981.5186069380734,6320.03411691705,4586.699593305786,42597.896792673346,42603.70378846815,254.58
156,Jaçanã,14464.000000000013,14464.000000000013,43910.009589090165,12215.916964840553,17611.0509246491,11083.352692500035,88607.62220428218,88273.47501393821,386.23
157,Parque Edu Chaves,6229.999999999998,6229.999999999998,19629.00426499985,4883.786954997798,6985.347149890225,2575.9402802720624,34206.03857500546,34593.76141370308,109.91
158,Vila Medeiros,19960.999999999996,19960.999999999996,60458.993230824024,8068.918382458971,7927.765206744903,9458.45153019422,74902.55958168778,75869.47509117924,335.02
159,Jardim Brasil,20205.999999999996,20205.999999999996,64170.995068863056,9561.593562667105,29202.79043806556,10554.826134151295,101954.2314695418,100394.21844514203,454.37
160,Jardim Japão,17245,17245,50672.00784981412,6995.652324624061,12696.597695428982,11537.003761574591,55473.27730408917,53498.03799513383,396.23
161,Parque Novo Mundo,14724,14724,47296.99723220994,6424.747530424097,33205.59174138952,8274.493159730178,122574.77749193946,121963.1273308646,551.36
162,Vila Maria,5466.999999999998,5466.999999999998,15841.99996212165,22073.058746291183,17823.115941903925,3457.422946776022,68260.8059056575,68767.37219842823,234.12
163,Vila Isolina Mazzei,16125,16125,47519.00533325027,6508.825101723691,17319.490868687608,13020.210399445066,96568.70766694237,97521.80424824078,379.5
164,Vila Guilherme,1878.999999999999,1878.999999999999,5848.997933023814,2434.6396670399745,10506.017811772914,1182.0826030376631,25919.74180229678,25735.218073683227,170.9
165,Coroa,1075.0000000000005,1075.0000000000005,3183.9992980983056,3964.9226728239532,14332.510543197994,602.785970713633,37176.26969140752,37561.618150274044,174.39
166,Gomes Cardim,12310.000000000022,12310.000000000022,32875.99473853073,22802.656983791945,30352.869074559592,10288.730048095034,120135.9883700126,119327.50740075523,243.24
167,Tatuapé,6492.999999999999,6492.999999999999,17439.998311870248,8718.759855746292,37493.46235986181,6142.060935813334,116961.62231652616,118134.33334878305,156.88
168,Chácara do Piqueri,8579.000000000004,8579.000000000004,22501.998470545434,7413.253482502107,22158.51458411184,6533.2912293355985,74133.77566598156,74079.09930406237,198.59
169,Parque São Jorge,8157.000000000007,8157.000000000007,22459.99831070056,44339.98589119594,19027.913227832807,8768.955965744884,86021.89394107142,87276.28354523187,252.07
170,Penha,11594.000000000013,11594.000000000013,34692.99916466048,12886.618640950546,19867.445222934202,7112.38824124384,97700.52071189976,97304.70850724398,384.16
171,Tiquatira,14372.000000000013,14372.000000000013,40666.00365996364,7653.176879952571,14810.388617654444,9458.552547446829,81281.34724613972,81162.08296348916,324.46
172,Vila Esperança,9252.999999999995,9252.999999999995,26788.005271197657,6530.176266870223,11407.846963401465,6818.153006092227,52567.46743787838,51976.1279215042,228.82
173,Vila Ré,8982,8982,26817.99597994046,4995.786883198984,9020.881740260551,4729.661353557219,45559.311203877274,45116.6979857273,208.23
174,Rui Barbosa,15838.99999999999,16193.666666666657,48886.002459603405,14856.113543866199,10105.970655822746,8474.671339144365,86238.87217794693,86039.00660204307,271.23
175,Estação Eng. Goulart,9795.999999999996,9795.999999999996,31791.996407250772,3691.438188701593,10075.215271846655,4999.069894722745,60534.83478570236,60149.95675976683,193.33
176,Cangaíba,15645.000000000005,15645.000000000005,46828.00128745474,8935.782707823248,18677.335272620796,9846.973339571956,58383.50791391227,58502.97503213158,333.53
177,Parque Ecológico do Tietê,3022.999999999997,3249.434782608692,10184.00082765629,538.3396500367164,1894.4566570515062,1259.9260075300454,14347.387861332496,13931.937945210704,530.85
178,USP Leste I,0,0,0,2954.2052274530115,1288.6441311551255,0,3889.2515188828083,3948.552311147009,50.18
179,USP Leste II,0,0,0,0,0,0,0,0,122.83
180,Ermelino Matarazzo,22957.99999999999,23549.764705882342,71108.99781247869,11591.449402073575,14445.149096685556,17402.849019357254,120369.45586844013,119763.48016842842,448.82
181,Parque Buturussu,15110.00000000001,15575.407407407418,46599.98871289391,12626.060795696121,12718.780001563555,9224.356749778113,79905.88905655923,82542.03794307866,371.83
